"code","product_name","brands","categories","pnns_groups_1","labels","countries_en","quantity","url","ingredients_text","allergens","traces","nutriscore_grade","nutriscore_score","energy_100g","fat_100g","saturated-fat_100g","carbohydrates_100g","sugars_100g","fiber_100g","proteins_100g","salt_100g","nova_group","image_url","image_small_url","image_ingredients_url","image_ingredients_small_url","image_nutrition_url"
"711381316788","Classic Greek Dressing","Stonewall Kitchen","Condiments, Sauces, Sauces salades","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0711381316788/classic-greek-dressing-stonewall-kitchen","","","","E","24.0","2092.0","53.333333333333","5.0","3.3333333333333","0.0","0.0","0.66666666666667","2.8333333333333","","https://images.openfoodfacts.org/images/products/071/138/131/6788/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/138/131/6788/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/138/131/6788/nutrition_fr.8.400.jpg"
"711381321263","Aïoli habanero et mange","Stonewall Kitchen","en:aiolis","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0711381321263/aioli-habanero-et-mange-stonewall-kitchen","","","","E","22.0","2510.4","66.666666666667","6.6666666666667","6.6666666666667","0.0","","0.0","2.0","","https://images.openfoodfacts.org/images/products/071/138/132/1263/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/138/132/1263/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/138/132/1263/nutrition_fr.5.400.jpg"
"711381325322","Maple bacon alioli","Stonewall Kitchen","en:aiolis","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0711381325322/maple-bacon-alioli-stonewall-kitchen","","","","D","17.0","2510.4","60.0","3.3333333333333","6.6666666666667","0.0","0.0","0.0","1.4166666666667","","https://images.openfoodfacts.org/images/products/071/138/132/5322/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/138/132/5322/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/138/132/5322/nutrition_fr.5.400.jpg"
"711381339442","Sauce tartare chipotle","","Condiments, Sauces, Sauces tartare","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0711381339442/sauce-tartare-chipotle","","","","E","19.0","1813.1","40.0","3.3333333333333","16.666666666667","10.0","0.0","3.3333333333333","1.8333333333333","","https://images.openfoodfacts.org/images/products/071/138/133/9442/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/138/133/9442/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/138/133/9442/nutrition_fr.5.400.jpg"
"711747013382","Brownie brittle salted caramel","","Snacks, Desserts, Snacks sucrés, Biscuits et gâteaux, Gâteaux","Sugary snacks","","Canada","","http://world-en.openfoodfacts.org/product/0711747013382/brownie-brittle-salted-caramel","","","","E","33.0","1793.1","17.857142857143","10.714285714286","71.428571428571","50.0","","3.5714285714286","0.89285714285715","","https://images.openfoodfacts.org/images/products/071/174/701/3382/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/174/701/3382/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/174/701/3382/nutrition_fr.5.400.jpg"
"712038809790","Spirulina powder","","Compléments alimentaires, Spiruline","unknown","","Canada","","http://world-en.openfoodfacts.org/product/0712038809790/spirulina-powder","","","","E","21.0","1494.3","0.0","0.0","14.285714285714","0.0","0.0","57.142857142857","3.5714285714285","","https://images.openfoodfacts.org/images/products/071/203/880/9790/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/203/880/9790/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/203/880/9790/nutrition_fr.7.400.jpg"
"712396637646","Kombucha","","Boissons, Produits fermentés, Boissons fermentées, Boissons au thé, Kombuchas","Beverages","","Canada","","http://world-en.openfoodfacts.org/product/0712396637646/kombucha","","","","B","2.0","40.1","0.0","0.0","2.5352112676056","1.9718309859155","0.0","0.0","0.0","","https://images.openfoodfacts.org/images/products/071/239/663/7646/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/239/663/7646/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/239/663/7646/nutrition_fr.5.400.jpg"
"713482806977","Organic Inulin Powder","Cutetonic","Dietary supplements","unknown","","Canada","250.0 g","http://world-en.openfoodfacts.org/product/0713482806977/organic-inulin-powder-cutetonic","100% Organic lnulin Powder","","","","","1527.2","0.2","","25.0","25.0","61.0","5.0","","","https://images.openfoodfacts.org/images/products/071/348/280/6977/front_en.4.400.jpg","https://images.openfoodfacts.org/images/products/071/348/280/6977/front_en.4.200.jpg","https://images.openfoodfacts.org/images/products/071/348/280/6977/ingredients_en.7.400.jpg","https://images.openfoodfacts.org/images/products/071/348/280/6977/ingredients_en.7.200.jpg",""
"714710008088","Qu'est Manchego","","Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de brebis, Fromages espagnols, Manchego","Milk and dairy products","","Canada","","http://world-en.openfoodfacts.org/product/0714710008088/qu-est-manchego","","","","","","179.9","30.0","25.0","0.0","0.0","0.0","8.0","","","https://images.openfoodfacts.org/images/products/071/471/000/8088/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/471/000/8088/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/471/000/8088/nutrition_fr.7.400.jpg"
"715235528273","Ketchup du Chief","","en:ketchup","Fat and sauces","","Canada","","http://world-en.openfoodfacts.org/product/0715235528273/ketchup-du-chief","","","","C","10.0","557.9","0.0","0.0","30.0","23.333333333333","3.3333333333333","3.3333333333333","0.91666666666667","","https://images.openfoodfacts.org/images/products/071/523/552/8273/front_fr.3.400.jpg","https://images.openfoodfacts.org/images/products/071/523/552/8273/front_fr.3.200.jpg","","","https://images.openfoodfacts.org/images/products/071/523/552/8273/nutrition_fr.5.400.jpg"
